id,name,price,sort_id,color_id,image1,image2,description,state,issale,user_id,looked,created_at,updated_at
41,年年有余,1300,1,6,08101017.jpg,081010171.jpg,年年有余  长1.79cm宽0.67cm厚0.24cm,0,已出售,3,5,2008-10-10 14:47:40,2011-09-19 16:26:24
57,戒指,1200,4,4,08101208.jpg,081012081.jpg,戒指 内径1.94cm面宽1.51cm面厚0.75cm,1,未出售,3,7,2008-10-12 13:08:49,2010-02-01 21:55:07
69,手镯,2800,2,11,08101220.jpg,081012201.jpg,手镯 内径5.91cm条宽1.25cm条厚0.62cm,0,未出售,3,9,2008-10-12 14:12:28,2010-04-10 10:02:09
74,四季常青豆,36000,1,23,08101225.jpg,081012251.jpg,四季常青豆长6.23cm宽2.55cm厚1.27cm,0,已出售,3,2,2008-10-12 14:26:20,2011-09-19 16:27:17
76,一鸣惊人,1900,1,4,08101227.jpg,081012271.jpg,一鸣惊人,0,已出售,3,7,2008-10-12 14:29:18,2011-09-19 16:27:43
79,项坠,2200,5,6,08101230.jpg,081012301.jpg,项坠 长3.41cm宽0.69cm厚0.26cm,1,未出售,3,3,2008-10-12 14:36:33,2009-06-15 02:04:29
81,项坠,1800,5,6,08101232.jpg,081012321.jpg,项坠 长3.25cm宽0.79cm厚0.23cm  ,2,未出售,3,14,2008-10-12 14:39:14,2010-02-23 22:33:51
83,一鸣惊人,800,1,1,08101234.jpg,081012341.jpg,一鸣惊人  长宽厚,3,未出售,1,6,2008-10-12 15:33:40,2010-01-27 10:30:30
141,手镯,2200,2,4,08102708.jpg,081027081.jpg,手镯内径5.70cm条宽1.23cm条厚1.58cm,1,未出售,3,12,2008-10-27 14:37:23,2009-11-08 20:25:17
142,手镯,1800,2,11,08102709.jpg,081027091.jpg,手镯 长6.04cm宽1.14cm厚6.00cm,1,未出售,3,12,2008-10-27 14:41:30,2010-04-05 19:12:50
149,手镯,22000,2,6,08102805.jpg,081028051.jpg,手镯内径5.67cm条宽1.09cm条厚0.60cm,1,未出售,3,8,2008-10-28 15:28:56,2010-02-06 10:08:28
150,手镯,23800,7,6,08102806.jpg,081028061.jpg,手镯内径5.55cm条宽4.98cm条厚0.58cm,1,未出售,3,14,2008-10-28 15:30:36,2010-03-30 12:52:49
153,冰花手镯,19900,2,5,08103003.jpg,081030031.jpg,冰花手镯  内径5.97cm 条宽1.52cm 条厚0.73cm,0,未出售,1,17,2008-10-30 15:41:31,2010-03-24 03:27:37
159,油翠手镯,3600,2,6,08110706.jpg,081107061.jpg,飘花手镯 内径5.53cm条宽1.13cm 条厚0.65cm,1,未出售,3,11,2008-11-07 01:54:26,2010-03-16 00:21:33
212,手镯,19000,2,7,08120509.jpg,081205091.jpg,飄花手镯  内径5.78cm 条宽1.33cm 条厚0.71cm,0,未出售,3,8,2008-12-05 15:52:39,2010-02-24 05:13:56
213,飄花手镯,52000,2,7,08120601.jpg,081206011.jpg,飄花手镯  内径5.47cm 条宽1.39cm 条厚0.58cm,1,未出售,3,14,2008-12-05 16:02:40,2010-03-21 16:36:23
215,手镯,2800,2,12,08122502.jpg,081225021.jpg,手镯 内径6.11cm 条宽1.20cm 条厚0.62cm,1,未出售,3,13,2008-12-25 14:17:15,2010-02-07 22:13:49
261,清泉凝翠扁条翡翠手镯,390000,2,2,09042801.jpg,090428011.jpg,清泉凝翠扁条翡翠手镯  内直径5.77 条宽1.48 条厚0.70厘米,0,已出售,3,39,2009-04-28 04:19:11,2010-02-25 20:44:07
353,紫翠手镯  5.96,15900,2,24,09071103.jpg,090711031.jpg,紫翠手镯  5.96,0,未出售,3,5,2009-07-11 08:48:22,2010-03-16 07:08:12
434,手镯,26000,2,5,10062104.jpg,100621041.jpg,直径5.6厘米 ,0,未出售,4,NULL,2010-06-21 04:43:19,2010-06-21 04:43:19
443,手镯,39000,2,13,10062113.jpg,100621131.jpg,内径59mm 条宽18mm 条厚8mm ,1,未出售,4,NULL,2010-06-21 05:08:43,2010-06-21 05:08:44
460,事业有成,52000,1,6,10062130.jpg,100621301.jpg,事业有成长3.5厘米 宽1.7厘米18k镶钻,0,未出售,4,NULL,2010-06-21 05:52:59,2010-06-21 05:53:00
467,翠绿手镯,760000,2,29,10072801.jpg,100728011.jpg,内径56mm  宽1.45mm  厚0.7mm,0,已出售,4,2,2010-07-28 10:53:03,2011-09-19 16:26:46
468,冰花手镯,260000,2,5,10072802.jpg,100728021.jpg,内径55mm  宽17mm  厚0.7mm,0,已出售,3,2,2010-07-28 11:20:58,2011-09-19 16:25:54
